train_start,train_end,validation_start,validation_end,test_date,prediction,actual,mae
2025-05-08 09:30:00,2025-05-20 15:45:00,2025-05-20 16:00:00,2025-05-23 12:30:00,2025-05-23 12:45:00,0.0019362347,0.002140710397962,0.0002044757477599043
2025-05-08 09:45:00,2025-05-20 16:00:00,2025-05-20 16:15:00,2025-05-23 12:45:00,2025-05-23 13:00:00,0.0027466975,0.0021778112669842,0.0005688862482650524
2025-05-08 10:00:00,2025-05-20 16:15:00,2025-05-20 16:30:00,2025-05-23 13:00:00,2025-05-23 13:15:00,0.002715705,0.0022092315801307,0.0005064733824804986
2025-05-08 10:15:00,2025-05-20 16:30:00,2025-05-20 16:45:00,2025-05-23 13:15:00,2025-05-23 13:30:00,0.0027489814,0.0022199339478688,0.0005290474031640533
2025-05-08 10:30:00,2025-05-20 16:45:00,2025-05-20 17:00:00,2025-05-23 13:30:00,2025-05-23 13:45:00,0.002812893,0.0021522437863209,0.0006606491107336528
2025-05-08 10:45:00,2025-05-20 17:00:00,2025-05-20 17:15:00,2025-05-23 13:45:00,2025-05-23 14:00:00,0.0028442366,0.0016650056266532,0.001179230931650037
2025-05-08 11:00:00,2025-05-20 17:15:00,2025-05-20 17:30:00,2025-05-23 14:00:00,2025-05-23 14:15:00,0.0028549007,0.001454738841924,0.0014001618255198715
2025-05-08 11:15:00,2025-05-20 17:30:00,2025-05-20 17:45:00,2025-05-23 14:15:00,2025-05-23 14:30:00,0.002879426,0.001401263346401,0.0014781627697227956
2025-05-08 11:30:00,2025-05-20 17:45:00,2025-05-20 18:00:00,2025-05-23 14:30:00,2025-05-23 14:45:00,0.0028747988,0.0013564080462562,0.0015183907936556185
2025-05-08 11:45:00,2025-05-20 18:00:00,2025-05-20 18:15:00,2025-05-23 14:45:00,2025-05-23 15:00:00,0.0027774398,0.0013560039164279,0.0014214358585174782
2025-05-08 12:00:00,2025-05-20 18:15:00,2025-05-20 18:30:00,2025-05-23 15:00:00,2025-05-23 15:15:00,0.002634403,0.001428937073318,0.0012054659896663473
2025-05-08 12:15:00,2025-05-20 18:30:00,2025-05-20 18:45:00,2025-05-23 15:15:00,2025-05-23 15:30:00,0.0024917568,0.0014181740805558,0.001073582727456924
2025-05-08 12:30:00,2025-05-20 18:45:00,2025-05-20 19:00:00,2025-05-23 15:30:00,2025-05-23 15:45:00,0.0023496214,0.0014691874514099997,0.0008804339320632774
2025-05-08 12:45:00,2025-05-20 19:00:00,2025-05-20 19:15:00,2025-05-23 15:45:00,2025-05-23 16:00:00,0.0022244523,0.0014324709344192,0.0007919813935176878
2025-05-08 13:00:00,2025-05-20 19:15:00,2025-05-20 19:30:00,2025-05-23 16:00:00,2025-05-23 16:15:00,0.0021643622,0.0014241533996173,0.0007402088316521788
2025-05-08 13:15:00,2025-05-20 19:30:00,2025-05-20 19:45:00,2025-05-23 16:15:00,2025-05-23 16:30:00,0.0021215258,0.0013414495331743,0.0007800762834450962
