train_start,train_end,validation_start,validation_end,test_date,prediction,actual,mae
2025-05-09 04:15:00,2025-05-21 10:30:00,2025-05-21 10:45:00,2025-05-27 07:15:00,2025-05-27 07:30:00,0.003316952,0.0030721924863202,0.0002447594293015576
2025-05-09 04:30:00,2025-05-21 10:45:00,2025-05-21 11:00:00,2025-05-27 07:30:00,2025-05-27 07:45:00,0.0030815047,0.0030734884326162003,8.016288578305362e-06
2025-05-09 04:45:00,2025-05-21 11:00:00,2025-05-21 11:15:00,2025-05-27 07:45:00,2025-05-27 08:00:00,0.0029473305,0.0030792884969325996,0.00013195802207908395
2025-05-09 05:00:00,2025-05-21 11:15:00,2025-05-21 11:30:00,2025-05-27 08:00:00,2025-05-27 08:15:00,0.002813559,0.0030799523128474,0.0002663932873213531
2025-05-09 05:15:00,2025-05-21 11:30:00,2025-05-21 11:45:00,2025-05-27 08:15:00,2025-05-27 08:30:00,0.0026884351,0.00309541383496,0.00040697869582547374
2025-05-09 05:30:00,2025-05-21 11:45:00,2025-05-21 12:00:00,2025-05-27 08:30:00,2025-05-27 08:45:00,0.0025734245,0.0030940742574025,0.0005206497728217447
2025-05-09 05:45:00,2025-05-21 12:00:00,2025-05-21 12:15:00,2025-05-27 08:45:00,2025-05-27 09:00:00,0.0024763455,0.0030945530797887,0.0006182075649100692
2025-05-09 06:00:00,2025-05-21 12:15:00,2025-05-21 12:30:00,2025-05-27 09:00:00,2025-05-27 09:15:00,0.0023954306,0.0031306473359324,0.0007352167561508675
2025-05-09 06:15:00,2025-05-21 12:30:00,2025-05-21 12:45:00,2025-05-27 09:15:00,2025-05-27 09:30:00,0.002326247,0.0031404947645940003,0.0008142477150984225
2025-05-09 06:30:00,2025-05-21 12:45:00,2025-05-21 13:00:00,2025-05-27 09:30:00,2025-05-27 09:45:00,0.0022784073,0.0031403222633554,0.0008619149262113828
2025-05-09 06:45:00,2025-05-21 13:00:00,2025-05-21 13:15:00,2025-05-27 09:45:00,2025-05-27 10:00:00,0.0024330798,0.0031452572453587,0.0007121774848370499
2025-05-09 07:00:00,2025-05-21 13:15:00,2025-05-21 13:30:00,2025-05-27 10:00:00,2025-05-27 10:15:00,0.0024079594,0.0031496941175183,0.0007417346879711093
2025-05-09 07:15:00,2025-05-21 13:30:00,2025-05-21 13:45:00,2025-05-27 10:15:00,2025-05-27 10:30:00,0.0023870573,0.0008951944872278,0.0014918628041160082
2025-05-09 07:30:00,2025-05-21 13:45:00,2025-05-21 14:00:00,2025-05-27 10:30:00,2025-05-27 10:45:00,0.0023711324,0.0008914782387282,0.0014796541350816145
2025-05-09 07:45:00,2025-05-21 14:00:00,2025-05-21 14:15:00,2025-05-27 10:45:00,2025-05-27 11:00:00,0.002236973,0.0008952687302826,0.0013417042983474184
2025-05-09 08:00:00,2025-05-21 14:15:00,2025-05-21 14:30:00,2025-05-27 11:00:00,2025-05-27 11:15:00,0.0020508508,0.0009046749668139,0.001146175806416295
2025-05-09 08:15:00,2025-05-21 14:30:00,2025-05-21 14:45:00,2025-05-27 11:15:00,2025-05-27 11:30:00,0.0018455115,0.0008609223425305,0.0009845891488799341
