train_start,train_end,validation_start,validation_end,test_date,prediction,actual,mae
2025-05-08 09:30:00,2025-05-20 16:15:00,2025-05-20 16:30:00,2025-05-23 13:00:00,2025-05-23 13:15:00,0.0020593298,0.0022092315801307,0.00014990181335056184
2025-05-08 09:45:00,2025-05-20 16:30:00,2025-05-20 16:45:00,2025-05-23 13:15:00,2025-05-23 13:30:00,0.0025730175,0.0022199339478688,0.00035308354874684844
2025-05-08 10:00:00,2025-05-20 16:45:00,2025-05-20 17:00:00,2025-05-23 13:30:00,2025-05-23 13:45:00,0.0025334887,0.0021522437863209,0.00038124488776841237
2025-05-08 10:15:00,2025-05-20 17:00:00,2025-05-20 17:15:00,2025-05-23 13:45:00,2025-05-23 14:00:00,0.0025331366,0.0016650056266532,0.0008681310075029079
2025-05-08 10:30:00,2025-05-20 17:15:00,2025-05-20 17:30:00,2025-05-23 14:00:00,2025-05-23 14:15:00,0.0014073391,0.001454738841924,4.739972070895459e-05
2025-05-08 10:45:00,2025-05-20 17:30:00,2025-05-20 17:45:00,2025-05-23 14:15:00,2025-05-23 14:30:00,0.0013416403,0.001401263346401,5.962309564366331e-05
2025-05-08 11:00:00,2025-05-20 17:45:00,2025-05-20 18:00:00,2025-05-23 14:30:00,2025-05-23 14:45:00,0.0022136408,0.0013564080462562,0.0008572327907426203
2025-05-08 11:15:00,2025-05-20 18:00:00,2025-05-20 18:15:00,2025-05-23 14:45:00,2025-05-23 15:00:00,0.0020403338,0.0013560039164279,0.0006843298966284497
2025-05-08 11:30:00,2025-05-20 18:15:00,2025-05-20 18:30:00,2025-05-23 15:00:00,2025-05-23 15:15:00,0.0018409893,0.001428937073318,0.00041205226491606694
2025-05-08 11:45:00,2025-05-20 18:30:00,2025-05-20 18:45:00,2025-05-23 15:15:00,2025-05-23 15:30:00,0.0018103126,0.0014181740805558,0.00039213853980832954
2025-05-08 12:00:00,2025-05-20 18:45:00,2025-05-20 19:00:00,2025-05-23 15:30:00,2025-05-23 15:45:00,0.0018098656,0.0014691874514099997,0.0003406781341183144
2025-05-08 12:15:00,2025-05-20 19:00:00,2025-05-20 19:15:00,2025-05-23 15:45:00,2025-05-23 16:00:00,0.0018323989,0.0014324709344192,0.0003999280008019357
2025-05-08 12:30:00,2025-05-20 19:15:00,2025-05-20 19:30:00,2025-05-23 16:00:00,2025-05-23 16:15:00,0.0018495616,0.0014241533996173,0.0004254081808394933
2025-05-08 12:45:00,2025-05-20 19:30:00,2025-05-20 19:45:00,2025-05-23 16:15:00,2025-05-23 16:30:00,0.0019052823,0.0013414495331743,0.0005638327276757719
2025-05-08 13:00:00,2025-05-20 19:45:00,2025-05-20 20:00:00,2025-05-23 16:30:00,2025-05-23 16:45:00,0.0018725884,0.0016840576301503,0.0001885307845485391
2025-05-08 13:15:00,2025-05-20 20:00:00,2025-05-21 04:00:00,2025-05-23 16:45:00,2025-05-23 17:00:00,0.0018491221,0.0020785464019488,0.00022942428933190326
2025-05-08 13:30:00,2025-05-21 04:00:00,2025-05-21 04:15:00,2025-05-23 17:00:00,2025-05-23 17:15:00,0.002000946,0.0020240288953069,2.3082809406831713e-05
2025-05-08 13:45:00,2025-05-21 04:15:00,2025-05-21 04:30:00,2025-05-23 17:15:00,2025-05-23 17:30:00,0.0023951803,0.0020228522608449,0.00037232802599470455
2025-05-08 14:00:00,2025-05-21 04:30:00,2025-05-21 04:45:00,2025-05-23 17:30:00,2025-05-23 17:45:00,0.002601366,0.0019930528699994,0.0006083131544649687
2025-05-08 14:15:00,2025-05-21 04:45:00,2025-05-21 05:00:00,2025-05-23 17:45:00,2025-05-23 18:00:00,0.0025727402,0.0019817430160045,0.0005909971793145565
2025-05-08 14:30:00,2025-05-21 05:00:00,2025-05-21 05:15:00,2025-05-23 18:00:00,2025-05-23 18:15:00,0.002528454,0.0019475524822916,0.0005809014619593412
2025-05-08 14:45:00,2025-05-21 05:15:00,2025-05-21 05:30:00,2025-05-23 18:15:00,2025-05-23 18:30:00,0.0024677562,0.0019474926031436,0.0005202635564599957
