train_start,train_end,validation_start,validation_end,test_date,prediction,actual,mae
2025-05-06 17:15:00,2025-05-29 07:00:00,2025-05-29 07:15:00,2025-06-04 04:30:00,2025-06-04 04:45:00,0.0007324026,0.0006307725315593001,0.00010163007670493756
2025-05-06 17:30:00,2025-05-29 07:15:00,2025-05-29 07:30:00,2025-06-04 04:45:00,2025-06-04 05:00:00,0.00068057247,0.000637708179639,4.286429007975426e-05
2025-05-06 17:45:00,2025-05-29 07:30:00,2025-05-29 07:45:00,2025-06-04 05:00:00,2025-06-04 05:15:00,0.00064628135,0.0006287707470439001,1.7510600100495e-05
2025-05-06 18:00:00,2025-05-29 07:45:00,2025-05-29 08:00:00,2025-06-04 05:15:00,2025-06-04 05:30:00,0.00065035926,0.0006268833248117,2.347593464097086e-05
2025-05-06 18:15:00,2025-05-29 08:00:00,2025-05-29 08:15:00,2025-06-04 05:30:00,2025-06-04 05:45:00,0.00065913843,0.0006201829337476,3.895549616234452e-05
2025-05-06 18:30:00,2025-05-29 08:15:00,2025-05-29 08:30:00,2025-06-04 05:45:00,2025-06-04 06:00:00,0.0006472944,0.0006206401767832,2.6654216491733048e-05
2025-05-06 18:45:00,2025-05-29 08:30:00,2025-05-29 08:45:00,2025-06-04 06:00:00,2025-06-04 06:15:00,0.0006599413,0.0006174426356132,4.249865256372395e-05
2025-05-06 19:00:00,2025-05-29 08:45:00,2025-05-29 09:00:00,2025-06-04 06:15:00,2025-06-04 06:30:00,0.0006324277,0.0006153132120072999,1.7114479009046335e-05
2025-05-06 19:15:00,2025-05-29 09:00:00,2025-05-29 09:15:00,2025-06-04 06:30:00,2025-06-04 06:45:00,0.0006433086,0.0006025603605042,4.0748263189683436e-05
2025-05-06 19:30:00,2025-05-29 09:15:00,2025-05-29 09:30:00,2025-06-04 06:45:00,2025-06-04 07:00:00,0.0006454242,0.0006033979963399,4.2026184789883394e-05
2025-05-06 19:45:00,2025-05-29 09:30:00,2025-05-29 09:45:00,2025-06-04 07:00:00,2025-06-04 07:15:00,0.0006329958,0.000610552822241,2.2442975545861662e-05
2025-05-06 20:00:00,2025-05-29 09:45:00,2025-05-29 10:00:00,2025-06-04 07:15:00,2025-06-04 07:30:00,0.0006333457,0.0006120303028054,2.1315381231212555e-05
2025-05-07 04:00:00,2025-05-29 10:00:00,2025-05-29 10:15:00,2025-06-04 07:30:00,2025-06-04 07:45:00,0.00064648705,0.0006109939090905,3.5493143927563275e-05
2025-05-07 04:15:00,2025-05-29 10:15:00,2025-05-29 10:30:00,2025-06-04 07:45:00,2025-06-04 08:00:00,0.0006446031,0.0006122621705046,3.234093336033797e-05
2025-05-07 04:30:00,2025-05-29 10:30:00,2025-05-29 10:45:00,2025-06-04 08:00:00,2025-06-04 08:15:00,0.00064888125,0.0008257902500063,0.00017690899947954398
2025-05-07 04:45:00,2025-05-29 10:45:00,2025-05-29 11:00:00,2025-06-04 08:15:00,2025-06-04 08:30:00,0.00061300816,0.0008219869221141,0.0002089787619700093
2025-05-07 05:00:00,2025-05-29 11:00:00,2025-05-29 11:15:00,2025-06-04 08:30:00,2025-06-04 08:45:00,0.000799663,0.0008396051764718,3.994216083052788e-05
2025-05-07 05:15:00,2025-05-29 11:15:00,2025-05-29 11:30:00,2025-06-04 08:45:00,2025-06-04 09:00:00,0.00092248846,0.0008402584566181,8.222999950820251e-05
2025-05-07 05:30:00,2025-05-29 11:30:00,2025-05-29 11:45:00,2025-06-04 09:00:00,2025-06-04 09:15:00,0.0009296002,0.0008558031791804999,7.379703074854912e-05
2025-05-07 05:45:00,2025-05-29 11:45:00,2025-05-29 12:00:00,2025-06-04 09:15:00,2025-06-04 09:30:00,0.00083680067,0.0008701829744695,3.33823070122175e-05
2025-05-07 06:00:00,2025-05-29 12:00:00,2025-05-29 12:15:00,2025-06-04 09:30:00,2025-06-04 09:45:00,0.00095579657,0.0008655386962344,9.025787148875502e-05
2025-05-07 06:15:00,2025-05-29 12:15:00,2025-05-29 12:30:00,2025-06-04 09:45:00,2025-06-04 10:00:00,0.0009584323,0.000904936129648,5.349619737663868e-05
2025-05-07 06:30:00,2025-05-29 12:30:00,2025-05-29 12:45:00,2025-06-04 10:00:00,2025-06-04 10:15:00,0.00081310957,0.0009336126420229,0.00012050307463400784
2025-05-07 06:45:00,2025-05-29 12:45:00,2025-05-29 13:00:00,2025-06-04 10:15:00,2025-06-04 10:30:00,0.001003255,0.0008207062107027,0.0001825488091930324
2025-05-07 07:00:00,2025-05-29 13:00:00,2025-05-29 13:15:00,2025-06-04 10:30:00,2025-06-04 10:45:00,0.00103263,0.0008309245429655,0.00020170543867150108
2025-05-07 07:15:00,2025-05-29 13:15:00,2025-05-29 13:30:00,2025-06-04 10:45:00,2025-06-04 11:00:00,0.0009664738,0.0008302634148042,0.00013621035878329506
2025-05-07 07:30:00,2025-05-29 13:30:00,2025-05-29 13:45:00,2025-06-04 11:00:00,2025-06-04 11:15:00,0.00096192333,0.0008363358845374,0.00012558744695052382
2025-05-07 07:45:00,2025-05-29 13:45:00,2025-05-29 14:00:00,2025-06-04 11:15:00,2025-06-04 11:30:00,0.0009341269,0.0008398304373299001,9.429646597306743e-05
2025-05-07 08:00:00,2025-05-29 14:00:00,2025-05-29 14:15:00,2025-06-04 11:30:00,2025-06-04 11:45:00,0.0009608327,0.0008442968040668,0.00011653589047858819
2025-05-07 08:15:00,2025-05-29 14:15:00,2025-05-29 14:30:00,2025-06-04 11:45:00,2025-06-04 12:00:00,0.00097035815,0.0009027262357262,6.763190969703349e-05
2025-05-07 08:30:00,2025-05-29 14:30:00,2025-05-29 14:45:00,2025-06-04 12:00:00,2025-06-04 12:15:00,0.0009702909,0.0009022155855994,6.807532997547849e-05
2025-05-07 08:45:00,2025-05-29 14:45:00,2025-05-29 15:00:00,2025-06-04 12:15:00,2025-06-04 12:30:00,0.0010529202,0.0009208317823324,0.00013208845857646113
2025-05-07 09:00:00,2025-05-29 15:00:00,2025-05-29 15:15:00,2025-06-04 12:30:00,2025-06-04 12:45:00,0.0010730944,0.000922092770447,0.0001510016636578598
2025-05-07 09:15:00,2025-05-29 15:15:00,2025-05-29 15:30:00,2025-06-04 12:45:00,2025-06-04 13:00:00,0.0011007735,0.0009362613928802,0.00016451206455755365
2025-05-07 09:30:00,2025-05-29 15:30:00,2025-05-29 15:45:00,2025-06-04 13:00:00,2025-06-04 13:15:00,0.000859613,0.00093036714406,7.075413759113772e-05
2025-05-07 09:45:00,2025-05-29 15:45:00,2025-05-29 16:00:00,2025-06-04 13:15:00,2025-06-04 13:30:00,0.0011063473,0.0009283201874645,0.00017802711916700545
2025-05-07 10:00:00,2025-05-29 16:00:00,2025-05-29 16:15:00,2025-06-04 13:30:00,2025-06-04 13:45:00,0.0010686972,0.0009267999717811,0.00014189722278771285
